iter	R2	MAE
0	-0.03967610357	0.9909209494
1	-0.03429203414	0.987957157
2	-0.02940682487	0.9852314336
3	-0.02447720247	0.9824937612
4	-0.01974833798	0.9798709629
5	-0.01495973409	0.9772533935
6	-0.01043913823	0.9747330312
7	-0.006192459246	0.9723332465
8	-0.001697430404	0.9698492861
9	0.002605817159	0.9674789937
10	0.006745281365	0.9651568883
11	0.0103926682	0.9630722425
12	0.01440716217	0.9608690053
13	0.01822037179	0.9587247636
14	0.02165769971	0.9567991899
15	0.02526010057	0.954798813
16	0.02850016395	0.9529826664
17	0.03187843305	0.951107846
18	0.03513014913	0.949226198
19	0.03827773426	0.947441644
20	0.04145310554	0.9456246911
21	0.04432407211	0.9439954747
22	0.04715937135	0.9423702038
23	0.0500866527	0.9406886777
24	0.05264289225	0.9391614949
25	0.05525710333	0.9376505445
26	0.05775335004	0.9361850673
27	0.06038155721	0.9346968319
28	0.06286024415	0.9332694456
29	0.06509131723	0.9319360553
30	0.06744391409	0.9305819224
31	0.06965801768	0.9293124297
32	0.07190195353	0.9280067709
33	0.0742103666	0.9267029602
34	0.07619470723	0.9255162185
35	0.07833475624	0.9242680594
36	0.08026912684	0.9231271177
37	0.08220348114	0.9219910974
38	0.08395853654	0.920959894
39	0.08582427771	0.9198754987
40	0.0874661857	0.9189092431
41	0.08914769355	0.9179070864
42	0.09063774667	0.9170300213
43	0.09207101605	0.9161824675
44	0.09372783886	0.9152050152
45	0.09520737576	0.9143463127
46	0.09682450875	0.9133929046
47	0.09833092221	0.9125252517
48	0.09979057804	0.9116568607
49	0.1012688648	0.9107898979
50	0.1026408623	0.9099890372
51	0.1040621329	0.9091362818
52	0.1052946504	0.9084034519
53	0.106390299	0.9077243758
54	0.1074869908	0.9070655673
55	0.1085539789	0.9064255189
56	0.1097519753	0.9056939597
57	0.1107877242	0.9050484965
58	0.1119096303	0.9043800868
59	0.1129776471	0.903732419
60	0.11406197	0.9031028192
61	0.1151313566	0.9024642823
62	0.1160916697	0.9019097761
63	0.1170399455	0.9013107446
64	0.1179733945	0.9007738398
65	0.1187584503	0.9002673587
66	0.1196072096	0.8997489364
67	0.1204556199	0.8992028746
68	0.1212904432	0.8986877924
69	0.1221477708	0.8981603062
70	0.1228061201	0.8977568478
71	0.1235948027	0.8972594784
72	0.1242247301	0.8968479125
73	0.1249679448	0.8963866467
74	0.1255694811	0.8960084441
75	0.126256477	0.8955743458
76	0.1269673529	0.8951445155
77	0.1275179959	0.8947896875
78	0.1281978035	0.894357038
79	0.128911765	0.8939514211
80	0.1294509875	0.8936125538
81	0.1297529071	0.8933827736
82	0.1303566873	0.8930078659
83	0.1309230146	0.8926554135
84	0.1313993533	0.8923493788
85	0.1319664663	0.8919898978
86	0.1325192089	0.8916206314
87	0.1330836194	0.8912691794
88	0.1334597793	0.8910059102
89	0.1340226431	0.8906485661
90	0.134509242	0.8903456898
91	0.134999063	0.8900301974
92	0.1354138352	0.8897494239
93	0.1357754485	0.8895173731
94	0.1361399174	0.8892922657
95	0.1364459141	0.8891001739
96	0.1367604572	0.8888854397
97	0.1371841075	0.8886030901
98	0.137621201	0.8883337165
99	0.1380786304	0.8880616365
100	0.1385253146	0.8877825072
101	0.1388265547	0.8875700849
102	0.1392046574	0.8873369687
103	0.1395176209	0.8871222091
104	0.1397854165	0.8869492661
105	0.1401735993	0.8867135298
106	0.1405314149	0.8864875991
107	0.140877604	0.8862740546
108	0.1411838449	0.8860871844
109	0.1414610106	0.8858875417
110	0.1417885228	0.8856636191
111	0.1420524253	0.8854838736
