iter	R2	MAE
0	0.008865807165	0.787873481
1	0.01932639216	0.7834357979
2	0.02918331138	0.779124094
3	0.03931655867	0.7748472191
4	0.04919024046	0.7705747794
5	0.05837249252	0.7664724728
6	0.06685564945	0.7626529835
7	0.075021912	0.758931524
8	0.08342370297	0.7551298662
9	0.09205673286	0.7512825745
10	0.09987385034	0.7477311515
11	0.1076432323	0.7441879043
12	0.1150970126	0.7407612352
13	0.1221673086	0.7374111229
14	0.1289918947	0.7341711951
15	0.1360879637	0.7308469363
16	0.1423362251	0.7278274953
17	0.1486605961	0.7247828072
18	0.1548222338	0.721799628
19	0.1607448482	0.7188968497
20	0.1665786521	0.7160173635
21	0.1725334979	0.7130833604
22	0.1783442103	0.7102400201
23	0.1834316034	0.7076607016
24	0.1886352303	0.7050714705
25	0.1939292506	0.7024211435
26	0.1989966903	0.6999065485
27	0.2043490928	0.6972713028
28	0.209191495	0.6947981083
29	0.2140391085	0.6923287628
30	0.2183056827	0.6900600252
31	0.2228472381	0.6877109949
32	0.2268159364	0.685568276
33	0.2311498066	0.6832847503
34	0.2347723051	0.6812729405
35	0.239236855	0.6789796963
36	0.2428522939	0.6770044939
37	0.2463699776	0.6750417965
38	0.2498648256	0.6730989014
39	0.2532856025	0.671218909
40	0.2565820244	0.6693693416
41	0.2598947697	0.6675152885
42	0.2632230882	0.6656773351
43	0.2665187085	0.6638169948
44	0.2695889726	0.6620491499
45	0.2727176889	0.6602611452
46	0.2756975035	0.65863393
47	0.2786005399	0.6570014341
48	0.2812995643	0.6554320783
49	0.2841103004	0.653812872
50	0.2867489299	0.6522870785
51	0.2892273646	0.6507987455
52	0.2918249917	0.649252307
53	0.2944363514	0.6477201793
54	0.2968205417	0.646350146
55	0.299223563	0.6448832243
56	0.3012260702	0.6436214327
57	0.3036535658	0.6421419097
58	0.3057505085	0.64088
59	0.3080768457	0.6395186416
60	0.3104304986	0.6381384621
61	0.3125905271	0.6368079849
62	0.3147376985	0.6355131074
63	0.3168385902	0.6342096785
64	0.3188960985	0.6329343317
65	0.3209538746	0.6316555178
66	0.3229185603	0.630478716
67	0.324805782	0.6293180596
68	0.3267532101	0.6280979704
69	0.3285860387	0.6269316597
70	0.3302922361	0.6258265644
71	0.3320710054	0.6247375493
72	0.3339040102	0.6235852588
73	0.3355370586	0.6225252537
74	0.3372364424	0.6214778593
75	0.3388370655	0.6204575402
76	0.340308022	0.6194778774
77	0.3417225561	0.6185369781
78	0.3431836866	0.6175427624
79	0.3445540177	0.616579843
80	0.3457288161	0.6157338326
81	0.347211562	0.6147396028
82	0.34835678	0.6138816676
83	0.3496237157	0.6129906121
84	0.3508599144	0.6121252439
85	0.3521812742	0.6112623642
86	0.3533979389	0.6104028503
87	0.3545701524	0.6095629344
88	0.3556582483	0.6088057216
89	0.3567612562	0.6079995506
90	0.3578129111	0.6072201179
91	0.3587425474	0.6065233163
92	0.359617099	0.6058401724
93	0.3607466557	0.6050773723
94	0.3615686496	0.6044757491
95	0.3626341466	0.6037074241
96	0.3636692335	0.6029574269
97	0.3646967226	0.6022212831
98	0.365856128	0.6014167383
99	0.3668487252	0.600695233
100	0.367728219	0.6000261631
101	0.368599579	0.5993843107
102	0.3694504065	0.598751898
103	0.3703942426	0.5980613724
104	0.3712444602	0.5974155199
